EmployeeID,Name,Department,JobRole,Gender,Age,Salary,Bonus,HireDate,ExitDate,Attrition,PerformanceRating,AbsenteeismDays
E1022,Employee_22,Marketing,Manager,Male,49,194899.0,55685.25451204499,2019-09-19,,No,3,21
E1023,Employee_23,,Specialist,Male,48,73585.0,15165.023157981293,2019-05-17,2022-09-10,Yes,4,27
E1024,Employee_24,IT,Executive,Male,40,182906.0,23976.462602997664,2020-07-31,2024-11-18,Yes,1,6
E1025,Employee_25,HR,Associate,Female,53,191152.0,20450.16554755431,2022-05-04,,No,4,12
E1026,Employee_26,sales,Specialist,Male,23,51959.0,9535.638035332147,2015-11-14,,No,5,0
E1027,Employee_27,HR,Associate,Male,44,195838.0,18031.345279265595,2019-06-20,2024-02-09,Yes,1,19
E1028,Employee_28,HR,Specialist,Male,32,82733.0,18538.485351213552,2019-06-25,,No,1,23
E1029,Employee_29,,Associate,Male,37,56736.0,16689.106533530346,2021-03-17,,No,5,0
E1030,Employee_30,Operations,Executive,Female,21,80859.0,13094.774726053904,2019-09-30,,No,4,22
E1031,Employee_31,,Specialist,Male,31,139751.0,15290.071102620463,2017-02-05,,No,5,19
E1032,Employee_32,HR,Analyst,Female,54,119045.0,21897.57431641991,2022-08-31,2023-08-09,Yes,1,8
E1033,Employee_33,Finance,Executive,Male,26,81663.0,4915.605096196672,2016-10-21,,No,4,26
E1034,Employee_34,IT,Executive,female,56,154249.0,27459.91053740145,2015-05-27,,No,4,6
E1035,Employee_35,Operations,Associate,male,53,101295.0,18176.155762920276,2022-12-29,2025-04-17,Yes,3,27
E1036,Employee_36,Hr,Executive,Female,45,142561.0,40084.36172885254,2019-06-23,2020-09-27,Yes,4,15
E1037,Employee_37,Support,Executive,Male,46,137512.0,24636.508670114927,2017-05-30,,No,2,0
E1038,Employee_38,Marketing,Associate,Male,32,50932.0,14011.623121860686,2020-08-18,,No,1,2
E1039,Employee_39,Sales,Analyst,Female,39,,,2021-03-05,,No,3,19
E1040,Employee_40,sales,Specialist,Male,44,150885.0,36962.13043418189,2016-09-19,,No,3,16
E1041,Employee_41,,Analyst,Male,28,35539.0,9760.379326515967,2015-09-11,2019-08-31,Yes,1,2
E1042,Employee_42,sales,Specialist,Female,45,,,2015-12-04,,No,2,21
E1043,Employee_43,HR,Executive,Male,55,80108.0,8496.841460566631,2015-06-10,,No,4,0
E1044,Employee_44,HR,Analyst,Female,34,121412.0,11498.405692994993,2019-03-08,,No,3,16
E1045,Employee_45,Sales,Manager,Male,53,137450.0,19508.134282629788,2017-11-11,,No,5,18
E1046,Employee_46,HR,Specialist,Female,28,180810.0,28676.211306985155,2017-03-08,,No,1,27
E1047,Employee_47,Sales,Specialist,Male,53,123179.0,28406.68227644924,2016-10-20,,No,4,2
E1048,Employee_48,Support,Manager,Female,37,154123.0,25813.464582456527,2017-12-05,,No,5,5
E1049,Employee_49,sales,Specialist,Male,55,193707.0,10433.863704489331,2021-05-16,,No,5,16
E1050,Employee_50,IT,Executive,Male,51,154019.0,19038.63097691638,2017-09-07,,No,1,2
E1051,Employee_51,HR,Analyst ,Female,38,195656.0,29088.738407518525,2022-02-26,,No,2,2
E1052,Employee_52,Sales,Associate,Male,44,102991.0,22429.98548530645,2019-08-14,,No,2,26
E1053,Employee_53,Sales,Specialist,Male,22,188823.0,42344.30081548737,2015-09-03,,No,5,9
E1054,Employee_54,HR,Executive,Female,46,59592.0,12089.931264476907,2022-11-15,2027-08-10,Yes,1,3
E1055,Employee_55,Support,Executive,Male,40,32368.0,2192.4539003634145,2016-02-04,,No,4,18
E1056,Employee_56,Hr,Associate,Female,43,154046.0,22166.562880593207,2017-04-13,,No,3,24
E1057,Employee_57,sales,Specialist,Male,42,85609.0,22695.044742261052,2021-06-10,,No,4,9
E1058,Employee_58,Marketing,Manager,Female,26,,,2021-10-27,2024-01-17,Yes,1,7
E1059,Employee_59,Finance,Associate,Male,25,117235.0,30540.39379975741,2017-09-18,,No,4,29
E1060,Employee_60,sales,Analyst,Male,55,103523.0,8611.701086714742,2016-01-05,,No,4,9
E1061,Employee_61,IT,Associate,Female,50,116672.0,17466.408053341765,2019-12-16,,No,4,25
E1062,Employee_62,Support,Analyst,Female,46,120852.0,11611.873302573684,2020-01-28,,No,1,11
E1063,Employee_63,IT,Specialist,Male,21,96617.0,26937.151180521916,2022-10-20,,No,1,7
E1064,Employee_64,Support,Analyst,Male,21,164415.0,29458.90379119724,2016-12-04,,No,5,21
E1065,Employee_65,,Specialist,Female,49,97215.0,8716.453601891191,2022-07-07,2026-08-23,Yes,4,4
E1066,Employee_66,HR,Specialist,Male,50,108781.0,24575.20140030459,2018-05-12,,No,2,25
E1067,Employee_67,Support,Executive,Female,41,124758.0,17038.958622617865,2019-10-24,2021-05-02,Yes,2,9
E1068,Employee_68,sales,Specialist,Male,25,127379.0,7811.644865188315,2022-09-10,,No,3,25
E1069,Employee_69,Operations,Associate,Male,52,71975.0,15451.118533943392,2016-05-30,,No,2,16
E1070,Employee_70,HR,Manager,Female,48,121007.0,25302.672529037372,2017-05-01,,No,4,17
E1071,Employee_71,Support,Analyst,Male,55,196267.0,16118.444707039964,2017-08-14,,No,3,10
E1072,Employee_72,Marketing,Associate,Female,57,133691.0,19589.16193755583,2018-12-11,2022-10-02,Yes,2,10
E1073,Employee_73,sales,Associate,Female,49,138940.0,14400.753073070377,2021-12-21,,No,2,2
E1074,Employee_74,IT,Analyst,Male,43,,,2015-03-31,2017-11-30,Yes,5,25
E1075,Employee_75,Sales,Executive,Female,30,105353.0,14239.105066691518,2015-04-25,2017-07-19,Yes,4,25
E1076,Employee_76,Sales,Associate,Male,31,161484.0,9656.191194222516,2016-12-29,,No,5,28
E1077,Employee_77,Support,Analyst,Female,56,74425.0,11600.456220320431,2023-02-15,,No,3,16
E1078,Employee_78,Finance,Executive,Female,55,115999.0,9502.920230819147,2017-10-05,,No,5,11
E1079,Employee_79,Sales,Executive,Female,33,142856.0,15651.165946955722,2019-12-27,2024-01-31,Yes,1,29
E1080,Employee_80,Marketing,Analyst,Female,40,161800.0,21036.006361688243,2016-11-29,2020-04-24,Yes,1,3
E1081,Employee_81,Operations,Executive,Female,32,185538.0,13511.186859386413,2021-11-07,,No,4,13
E1082,Employee_82,Sales,Associate,Female,51,193379.0,37391.66134184824,2018-10-22,2019-09-30,Yes,5,4
E1083,Employee_83,IT,Specialist,Female,55,132795.0,17551.002075599496,2023-01-17,2027-09-05,Yes,4,20
E1084,Employee_84,Support,Analyst,male,43,,,2017-11-28,,No,5,20
E1085,Employee_85,Hr,Specialist,Female,59,118461.0,22197.48523223801,2018-03-02,,No,3,22
E1086,Employee_86,Operations,Analyst,Male,49,132634.0,30036.01325819169,2017-01-20,,No,4,8
E1087,Employee_87,Marketing,Analyst,Male,30,31542.0,4937.044326482654,2018-04-06,2019-04-10,Yes,1,17
E1088,Employee_88,Hr,Associate,Female,47,49065.0,4251.541394079808,2020-09-07,2024-06-26,Yes,3,7
E1089,Employee_89,Sales,Analyst,Male,21,198152.0,39228.584343728784,2020-01-02,,No,4,18
E1090,Employee_90,Hr,Executive,Female,59,148874.0,16700.83994166367,2015-02-08,,No,3,12
E1091,Employee_91,IT,Associate,Female,33,170507.0,32885.38777715769,2019-08-11,,No,4,7
E1092,Employee_92,Sales,Analyst,Female,59,,,2021-08-31,2023-03-01,Yes,1,27
E1093,Employee_93,Finance,Manager,Female,45,63591.0,11579.446095852707,2018-02-14,,No,2,11
E1094,Employee_94,Support,Specialist,Female,52,183772.0,11171.49583474532,2018-03-18,,No,5,10
E1095,Employee_95,,Associate,Female,57,,,2019-08-10,,No,4,24
E1096,Employee_96,sales,Executive,Female,38,101726.0,21092.851465736927,2019-03-30,2022-12-25,Yes,1,20
E1097,Employee_97,Operations,Executive,Female,23,180159.0,42206.78151599313,2017-11-01,,No,2,15
E1098,Employee_98,,Analyst,Male,28,155899.0,11955.740980834611,2016-01-08,,No,2,27
E1099,Employee_99,,Associate,Male,56,91529.0,13460.904229552252,2016-06-23,,No,4,4
E1100,Employee_100,Finance,Associate,Female,56,50159.0,8191.476909021835,2018-05-09,,No,1,20
E1101,Employee_101,Operations,Specialist,Male,40,196619.0,23149.80517842058,2023-02-04,2027-12-21,Yes,3,28
E1102,Employee_102,Hr,Executive,male,26,166785.0,25711.536311228065,2016-12-09,,No,1,1
E1103,Employee_103,IT,Manager,Female,30,88141.0,23490.984321113876,2017-05-26,,No,5,22
E1104,Employee_104,Support,Executive,Female,53,91813.0,23195.483239768106,2015-08-12,,No,1,10
E1105,Employee_105,Finance,Manager,Female,41,53833.0,7817.774371254446,2022-11-14,2025-08-04,Yes,1,12
E1106,Employee_106,Marketing,Associate,Female,53,48017.0,2842.8689045693495,2016-05-25,2017-12-30,Yes,5,15
E1107,Employee_107,HR,Manager,Male,26,42763.0,10828.671463357377,2019-07-27,,No,3,20
E1108,Employee_108,HR,Executive ,Male,43,53524.0,12392.423014525399,2016-12-14,,No,2,18
E1109,Employee_109,HR,Executive,Female,37,151288.0,12449.467399859843,2015-02-20,,No,5,12
E1110,Employee_110,Sales,Manager ,Male,24,51949.0,14003.121363719141,2016-05-02,2016-12-21,Yes,4,7
E1111,Employee_111,Support,Manager,Female,59,44489.0,7765.167747172282,2016-03-13,2017-01-24,Yes,3,26
E1112,Employee_112,Sales,Manager,Female,32,145765.0,42562.42397983395,2017-02-01,,No,1,16
E1113,Employee_113,Finance,Specialist,Female,43,74238.0,18274.950644674413,2016-07-31,2017-05-01,Yes,3,6
E1114,Employee_114,sales,Analyst,Male,58,95215.0,5106.967585391844,2022-10-24,,No,2,1
E1115,Employee_115,Finance,Specialist,Male,38,168013.0,31704.708709501243,2021-10-18,,No,2,19
E1116,Employee_116,Sales,Executive,Female,58,127239.0,35323.81374818851,2016-06-25,,No,2,18
E1117,Employee_117,Hr,Associate,Male,37,133196.0,11557.199841456035,2021-02-09,2025-07-22,Yes,2,16
E1118,Employee_118,Marketing,Specialist,Female,40,155911.0,9583.118976603182,2020-10-01,,No,2,12
E1119,Employee_119,HR,Executive,Female,31,167326.0,13757.532087105323,2022-12-05,,No,3,21
E1120,Employee_120,IT,Associate,Female,36,54071.0,5137.654370799731,2023-01-26,,No,1,2
E1121,Employee_121,Support,Analyst,Female,52,131570.0,23525.90193462106,2016-11-02,2017-07-20,Yes,2,18
E1122,Employee_122,Sales,Manager,Male,39,87108.0,8034.298868522527,2016-08-26,,No,2,28
E1123,Employee_123,HR,Manager,Female,42,109252.0,20449.66124038195,2022-05-16,2023-07-22,Yes,4,25
E1124,Employee_124,,Specialist,Male,54,138464.0,24349.492247911727,2020-01-11,,No,3,8
E1125,Employee_125,HR,Manager,Male,46,171560.0,29214.325951074417,2021-03-11,,No,3,15
E1126,Employee_126,Finance,Associate,Female,37,125257.0,33453.04794098913,2020-08-17,,No,1,2
E1127,Employee_127,HR,Executive,Female,35,,,2016-09-30,,No,2,27
E1128,Employee_128,Sales,Analyst,Female,43,97661.0,16175.950728069838,2015-12-31,,No,2,13
E1129,Employee_129,Marketing,Manager,female,27,,,2019-07-05,,No,3,14
E1130,Employee_130,IT,Analyst ,Female,38,135977.0,18837.80046360921,2020-03-21,,No,1,22
E1131,Employee_131,Operations,Associate ,Female,57,171339.0,9426.694739009465,2020-05-30,,No,1,6
E1132,Employee_132,Sales,Specialist,Male,42,77915.0,8438.51417647569,2020-09-03,,No,4,9
E1133,Employee_133,IT,Associate,Male,23,112152.0,19582.922373572907,2020-11-28,,No,4,14
E1134,Employee_134,Sales,Analyst,Male,42,42910.0,10142.201959312399,2022-08-27,,No,3,9
E1135,Employee_135,sales,Executive,Female,57,78447.0,15116.311416590532,2020-05-29,,No,3,12
E1136,Employee_136,Support,Executive,Male,26,33812.0,9583.096986242219,2018-12-31,,No,5,5
E1137,Employee_137,Marketing,Associate,Female,26,,,2022-01-07,2026-04-29,Yes,3,29
E1138,Employee_138,Marketing,Specialist,Male,50,174990.0,11184.201025644279,2018-03-06,2020-10-19,Yes,3,18
E1139,Employee_139,Finance,Specialist,Female,51,34324.0,10145.990911692752,2018-05-31,,No,2,19
E1140,Employee_140,Support,Associate,Male,48,189818.0,50563.10790573589,2016-10-07,,No,1,29
E1141,Employee_141,sales,Manager,Male,58,43234.0,11033.981232578011,2015-07-13,,No,3,7
E1142,Employee_142,Hr,Manager,Male,46,76514.0,19866.526474143157,2019-07-27,,No,2,21
E1143,Employee_143,Finance,Specialist ,Female,24,121922.0,12177.170898735656,2016-06-15,,No,1,11
E1144,Employee_144,Sales,Executive,Male,21,134537.0,32550.5376964038,2019-04-23,,No,5,29
E1145,Employee_145,Support,Associate,Female,31,62254.0,10600.923975217453,2020-07-19,,No,3,0
E1146,Employee_146,Operations,Executive ,Male,26,95545.0,17881.32122585021,2019-08-01,2020-08-06,Yes,2,12
E1147,Employee_147,IT,Analyst,Female,22,195459.0,22215.90193486763,2019-06-25,,No,1,16
E1148,Employee_148,Support,Manager,Female,29,123070.0,20662.720381216997,2020-07-31,,No,3,29
E1149,Employee_149,Operations,Executive,Male,51,136288.0,35800.38601768064,2015-08-24,2017-02-07,Yes,5,23
E1150,Employee_150,Marketing,Analyst,Female,31,114555.0,16588.38263763204,2022-01-04,,No,4,28
E1151,Employee_151,Support,Associate ,Female,28,88596.0,8895.643511737493,2022-10-16,,No,3,20
E1152,Employee_152,Hr,Specialist,Male,57,180354.0,39010.44488536062,2022-03-06,2023-01-31,Yes,1,12
E1153,Employee_153,Finance,Executive,Male,45,73303.0,11947.447080255868,2016-09-07,2021-06-22,Yes,3,28
E1154,Employee_154,Operations,Associate,Male,58,132974.0,23360.88528803933,2022-06-05,2023-05-15,Yes,1,14
E1155,Employee_155,Operations,Specialist,Male,22,179453.0,11961.39989396732,2020-11-21,,No,3,6
E1156,Employee_156,IT,Specialist,Male,26,84917.0,11311.279523082607,2018-04-17,2020-05-09,Yes,4,14
E1157,Employee_157,Operations,Specialist,Male,49,35408.0,6492.597586174399,2018-06-08,,No,3,3
E1158,Employee_158,,Associate,Female,49,40789.0,9711.892715815886,2017-08-08,,No,1,29
E1159,Employee_159,sales,Specialist,female,24,49029.0,11203.911971835394,2016-05-31,,No,3,9
E1160,Employee_160,sales,Specialist,Male,53,76197.0,19454.18571102334,2017-03-25,,No,4,12
E1161,Employee_161,Operations,Associate,Male,44,94435.0,14101.206321017069,2020-09-25,,No,4,11
E1162,Employee_162,sales,Analyst,Male,22,177550.0,35440.87539974702,2020-05-09,2024-07-02,Yes,2,10
E1163,Employee_163,IT,Analyst,Female,47,101315.0,9665.39316943411,2020-02-09,2023-01-15,Yes,2,13
E1164,Employee_164,,Associate,Male,32,103319.0,18232.928103416038,2017-09-11,,No,1,14
E1165,Employee_165,Finance,Specialist,male,32,67219.0,18800.32283896128,2023-01-14,,No,5,7
E1166,Employee_166,,Analyst,Female,48,139945.0,9408.556206686359,2015-02-20,2018-07-26,Yes,1,21
E1167,Employee_167,Operations,Manager,Male,31,174790.0,14106.024139703954,2019-06-25,2023-12-09,Yes,2,13
E1168,Employee_168,Support,Manager,Female,56,154085.0,39965.442055862244,2020-01-29,,No,3,7
E1169,Employee_169,Marketing,Executive,Male,35,98244.0,14228.327258047466,2018-08-25,2022-05-16,Yes,2,19
E1170,Employee_170,,Specialist,Female,46,43224.0,3395.972444401762,2021-04-10,2023-04-16,Yes,2,10
E1171,Employee_171,sales,Executive,Female,58,169649.0,28233.840012816087,2016-04-19,,No,2,26
E1172,Employee_172,Hr,Manager,Male,37,167855.0,17818.01063864767,2017-05-25,,No,3,18
E1173,Employee_173,Finance,Executive,Male,44,97526.0,8911.762948870144,2020-02-23,2023-12-08,Yes,1,28
E1174,Employee_174,IT,Analyst,Female,42,49097.0,2615.5746337793544,2019-02-01,2022-07-27,Yes,1,19
E1175,Employee_175,Support,Executive ,Male,40,82853.0,21969.13614457525,2017-12-22,,No,5,7
E1176,Employee_176,Finance,Analyst,Female,27,31759.0,2120.520461344767,2021-03-12,2022-12-06,Yes,3,23
E1177,Employee_177,Operations,Executive,Female,39,123501.0,12508.787684792092,2021-05-21,2025-07-27,Yes,5,28
E1178,Employee_178,sales,Specialist,Female,50,102847.0,19665.40400816508,2020-08-27,,No,1,13
E1179,Employee_179,,Executive,Female,22,167717.0,26866.701407059707,2020-12-01,2024-11-15,Yes,3,3
E1180,Employee_180,HR,Executive,Male,21,82487.0,21895.8776301355,2017-03-10,,No,2,9
E1181,Employee_181,Finance,Associate,Female,39,105629.0,19186.939213688638,2020-11-04,,No,4,17
E1182,Employee_182,Sales,Specialist,Female,27,139575.0,7924.230788418427,2022-09-07,,No,3,23
E1183,Employee_183,Marketing,Analyst,Male,43,106218.0,18734.408975721177,2015-11-24,,No,1,14
E1184,Employee_184,Finance,Analyst,Female,57,102258.0,27800.383505216447,2018-07-11,,No,2,2
E1185,Employee_185,Marketing,Specialist,Female,52,117127.0,27005.589731864446,2022-11-01,,No,3,15
E1186,Employee_186,Support,Associate,Male,24,84771.0,18397.11127805756,2021-11-21,,No,2,6
E1187,Employee_187,Support,Analyst,Male,30,46032.0,4693.955024220482,2015-05-27,,No,5,18
E1188,Employee_188,IT,Specialist,Male,56,192491.0,43500.3738747367,2020-04-04,,No,5,19
E1189,Employee_189,HR,Specialist,Male,31,133145.0,34121.97891056751,2016-12-07,2018-10-08,Yes,4,19
E1190,Employee_190,Sales,Specialist,Female,25,194644.0,29654.580407277954,2019-10-24,,No,1,1
E1191,Employee_191,Support,Manager,Male,55,150307.0,44135.66894756164,2018-10-19,,No,1,9
E1192,Employee_192,,Specialist,Female,50,49063.0,14539.419110129058,2015-05-08,,No,1,17
E1193,Employee_193,HR,Associate,Male,37,32573.0,7668.39220859008,2015-08-25,2019-10-07,Yes,1,21
E1194,Employee_194,Sales,Executive,Female,42,160282.0,24911.987509517276,2022-06-06,,No,2,28
E1195,Employee_195,HR,Manager,Male,54,156678.0,34593.87006504129,2022-11-25,,No,2,20
E1196,Employee_196,Hr,Manager,Male,56,61653.0,4118.041232750818,2019-08-28,2023-06-04,Yes,2,11
E1197,Employee_197,Hr,Manager,Female,43,78756.0,4154.296870456822,2020-09-05,,No,1,5
E1198,Employee_198,Sales,Associate,Female,47,34263.0,3860.846155705506,2019-11-08,2022-08-24,Yes,2,12
E1199,Employee_199,Operations,Specialist,Female,37,65737.0,9932.556691832055,2016-12-02,,No,2,13
E1200,Employee_200,IT,Specialist,Female,22,131371.0,38052.50272770377,2022-11-06,2025-04-16,Yes,4,18
E1201,Employee_201,Hr,Associate,Female,46,83276.0,12268.545388739909,2018-08-12,,No,3,3
E1202,Employee_202,Sales,Executive,Female,59,146021.0,24679.388944878683,2022-04-24,,No,5,23
E1203,Employee_203,,Manager,Female,53,89129.0,5151.280411219311,2019-10-29,,No,4,10
E1204,Employee_204,Operations,Manager,Female,37,151789.0,43838.04116799604,2020-07-19,,No,2,8
E1205,Employee_205,sales,Specialist,Female,46,162596.0,22128.654323866038,2021-06-01,2024-10-23,Yes,1,24
E1206,Employee_206,HR,Associate,Male,45,43350.0,2990.4283348807794,2018-06-06,,No,4,11
E1207,Employee_207,Support,Analyst,Male,50,50581.0,9992.664340226323,2021-05-11,,No,5,11
E1208,Employee_208,Hr,Specialist,Male,37,66408.0,10724.987842647983,2015-01-12,2019-04-02,Yes,3,7
E1209,Employee_209,Sales,Associate,Male,51,41344.0,8876.384878321975,2021-08-18,,No,1,17
E1210,Employee_210,Hr,Specialist,Male,45,107454.0,23993.812292973096,2016-05-03,,No,5,25
E1211,Employee_211,Operations,Manager,Female,52,67641.0,13329.737196300777,2016-02-05,,No,2,20
E1212,Employee_212,Finance,Executive,Female,42,124457.0,15957.094219028975,2015-12-01,,No,5,6
E1213,Employee_213,Marketing,Executive,Male,29,172194.0,48403.56961666657,2019-03-02,,No,3,22
E1214,Employee_214,Sales,Analyst ,Male,49,167809.0,39647.58418887652,2021-08-16,,No,3,17
E1215,Employee_215,Marketing,Analyst,Male,59,117312.0,24933.708053798993,2022-04-21,2023-05-13,Yes,5,1
E1216,Employee_216,Support,Associate,Male,23,164055.0,26291.13282389866,2015-12-30,,No,1,3
E1217,Employee_217,Marketing,Specialist,Male,49,176389.0,22875.55880992122,2022-08-01,,No,1,15
E1218,Employee_218,Hr,Manager,Male,22,153618.0,41096.61220272826,2021-09-27,,No,3,22
E1219,Employee_219,Marketing,Associate,Female,33,57788.0,8436.526317670277,2019-06-20,,No,3,26
E1220,Employee_220,Marketing,Analyst ,Male,59,137309.0,18904.422166964716,2017-08-15,,No,1,28
E1221,Employee_221,,Specialist,Male,36,115431.0,13611.824689366553,2021-08-21,,No,2,29
E1222,Employee_222,HR,Manager,Female,45,54574.0,8477.484260567207,2016-01-24,2018-03-10,Yes,1,2
E1223,Employee_223,Support,Executive,Female,34,54951.0,6693.567457595862,2021-06-29,,No,2,29
E1224,Employee_224,HR,Manager,Male,57,196472.0,15200.429511920778,2017-08-21,2021-05-15,Yes,3,25
E1225,Employee_225,Finance,Associate,Male,57,154988.0,17784.200801615476,2016-12-10,,No,3,29
E1226,Employee_226,Operations,Analyst,Female,33,54262.0,16158.797997861155,2019-05-14,,No,4,28
E1227,Employee_227,Finance,Analyst,Male,30,70042.0,6593.194104432453,2021-03-15,,No,1,16
E1228,Employee_228,Finance,Associate,Male,23,175271.0,24105.251074852986,2019-12-02,,No,1,8
E1229,Employee_229,IT,Manager,Female,55,179369.0,32512.04381945136,2020-03-29,,No,2,2
E1230,Employee_230,Operations,Manager,Female,38,187757.0,56155.104064535786,2015-01-03,,No,3,5
E1231,Employee_231,Finance,Executive,Female,33,37287.0,8835.822125446732,2021-07-04,,No,4,13
E1232,Employee_232,,Specialist,Female,57,178746.0,48147.95483793249,2022-05-06,,No,4,28
E1233,Employee_233,IT,Specialist,Female,29,47602.0,13752.830654683181,2018-09-17,2019-09-21,Yes,1,14
E1234,Employee_234,sales,Analyst,female,45,94772.0,22157.993423624164,2017-09-10,,No,4,14
E1235,Employee_235,Support,Specialist,Female,58,182826.0,42206.301426307306,2019-06-14,2022-07-01,Yes,5,27
E1236,Employee_236,sales,Analyst,Female,33,71755.0,4953.442455681623,2016-08-15,,No,2,7
E1237,Employee_237,IT,Manager,Female,52,145005.0,28725.77270363834,2022-07-08,,No,3,23
E1238,Employee_238,Hr,Associate,Male,54,101719.0,19472.37241142197,2019-11-08,,No,1,5
E1239,Employee_239,sales,Associate,Male,44,37314.0,9964.338060594855,2020-11-09,2022-05-15,Yes,3,26
E1240,Employee_240,Sales,Manager,Female,33,194202.0,21298.62036468005,2019-09-13,,No,2,3
E1241,Employee_241,IT,Executive,Male,47,163541.0,15913.419959494913,2020-12-20,,No,3,12
E1242,Employee_242,Support,Associate,female,51,77638.0,3981.7651917636363,2022-06-12,,No,3,20
E1243,Employee_243,Finance,Executive,Male,50,72534.0,6541.839574991997,2021-07-31,,No,2,13
E1244,Employee_244,Finance,Executive,Male,33,122124.0,14004.21342453783,2020-06-08,2024-05-25,Yes,5,13
E1245,Employee_245,Finance,Associate,Female,47,158232.0,32904.87950172537,2022-12-23,,No,4,23
E1246,Employee_246,IT,Analyst,Male,55,162079.0,12438.778740108648,2021-09-27,2026-05-02,Yes,2,8
E1247,Employee_247,sales,Manager,Female,52,,,2018-12-06,2021-01-15,Yes,5,28
E1248,Employee_248,Support,Analyst,Male,42,174579.0,16312.376991429926,2016-04-28,2020-05-02,Yes,4,26
E1249,Employee_249,Finance,Associate,Male,37,153797.0,34933.91214796765,2017-06-04,,No,1,21
E1250,Employee_250,Finance,Specialist,Female,46,144682.0,38066.36443054469,2016-12-04,,No,5,11
E1251,Employee_251,Support,Manager,Female,56,117266.0,23288.90620707365,2021-11-12,,No,5,10
E1252,Employee_252,Hr,Manager,Female,53,37813.0,5405.685310275974,2023-03-14,,No,3,25
E1253,Employee_253,Support,Manager,Female,43,41745.0,4942.886295982035,2016-05-30,2020-01-12,Yes,5,8
E1254,Employee_254,Hr,Executive,Female,59,71846.0,18427.075834914842,2018-01-03,,No,4,1
E1255,Employee_255,HR,Analyst,Male,34,82307.0,17583.06362845935,2019-04-12,,No,3,16
E1256,Employee_256,Hr,Executive,Female,48,63756.0,18228.09415155136,2017-05-18,,No,3,19
E1257,Employee_257,Finance,Manager,Female,26,129986.0,15410.334323123556,2018-11-11,,No,3,0
E1258,Employee_258,,Manager,Female,58,181054.0,42811.89359406355,2020-01-30,,No,1,24
E1259,Employee_259,Hr,Executive,Male,44,56385.0,15003.459979301984,2021-03-05,,No,3,7
E1260,Employee_260,HR,Specialist,Female,45,166848.0,12145.053223823068,2016-06-03,,No,3,13
E1261,Employee_261,,Manager,Male,27,112879.0,13945.29666575961,2019-04-09,,No,4,25
E1262,Employee_262,,Specialist,Female,23,176323.0,43928.11118919808,2022-08-13,,No,1,29
E1263,Employee_263,Sales,Executive,Female,40,64531.0,12235.282043616586,2017-10-13,2020-12-11,Yes,5,20
E1264,Employee_264,Finance,Associate,Female,22,84615.0,13395.54341605916,2017-12-23,2023-04-16,Yes,1,7
E1265,Employee_265,Support,Associate,Male,41,187661.0,27796.98332220872,2018-10-21,,No,3,12
E1266,Employee_266,,Specialist ,Female,45,94288.0,27170.233695848638,2018-11-16,,No,3,21
E1267,Employee_267,Support,Manager,Male,44,69499.0,20617.965892368353,2019-08-23,2024-04-04,Yes,4,19
